Chemical	SMILE
Thiostrepton	CC[C@H](C)C1C(=O)N[C@H](C(=O)NC(=C)C(=O)N[C@H](C(=O)N[C@]23CCC(=N[C@@H]2C4=CSC(=N4)[C@H]([C@H](OC(=O)C5=NC6=C(C=C[C@H]([C@@H]6O)N1)C(=C5)[C@H](C)O)C)NC(=O)C7=CSC(=N7)[C@@H](NC(=O)[C@H]8CSC(=N8)/C(=C/C)/NC(=O)C(NC(=O)C9=CSC3=N9)[C@@H](C)O)[C@@](C)([C@@H](C)O)O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C)C
Thiostrepton	CC[C@H](C)[C@@H]1C(=O)N[C@@H](C(=O)NC(=C)C(=O)N[C@@H](C(=O)N[C@]23CCC(=N[C@H]2C4=CSC(=N4)[C@H]([C@H](OC(=O)C5=NC6=C(C=C[C@@H]([C@H]6O)N1)C(=C5)[C@@H](C)O)C)NC(=O)C7=CSC(=N7)[C@H](NC(=O)[C@@H]8CSC(=N8)/C(=C\C)/NC(=O)[C@@H](NC(=O)C9=CSC3=N9)[C@H](C)O)[C@@](C)([C@H](C)O)O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C)C
Thiostrepton	CC[C@H](C)[C@H]1C(=O)NC(C(=O)NC(=C)C(=O)N[C@H](C(=O)N[C@@]23CCC(=N[C@@H]2C4=CSC(=N4)[C@H]([C@H](OC(=O)C5=NC6=C(C=C[C@H]([C@@H]6O)N1)C(=C5)[C@H](C)O)C)NC(=O)C7=CSC(=N7)[C@@H](NC(=O)[C@H]8CSC(=N8)/C(=C/C)/NC(=O)[C@@H](NC(=O)C9=CSC3=N9)[C@@H](C)O)[C@](C)([C@@H](C)O)O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C)C
Thiostrepton	CCC(C)C1C(=O)NC(C(=O)NC(=C)C(=O)NC(C(=O)N[C@]23CCC(=N[C@@H]2C4=CSC(=N4)[C@H]([C@H](OC(=O)C5=NC6=C(C=CC([C@@H]6O)N1)C(=C5)[C@H](C)O)C)NC(=O)C7=CSC(=N7)[C@@H](NC(=O)C8CSC(=N8)/C(=C/C)/NC(=O)[C@@H](NC(=O)C9=CSC3=N9)[C@@H](C)O)[C@@](C)([C@@H](C)O)O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C)C
Thiostrepton	CCC(C)C1C(=O)NC(C(=O)NC(=C)C(=O)NC(C(=O)NC23CCC(=NC2C4=CSC(=N4)[C@H](C(OC(=O)C5=NC6=C(C=C[C@H]([C@@H]6O)N1)C(=C5)C(C)O)C)NC(=O)C7=CSC(=N7)[C@H](NC(=O)C8CSC(=N8)/C(=C/C)/NC(=O)[C@@H](NC(=O)C9=CSC3=N9)[C@@H](C)O)C(C)(C(C)O)O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C)C
Thiostrepton	CC[C@H](C)[C@H]1C(=O)N[C@@H](C(=O)NC(=C)C(=O)N[C@@H](C(=O)N[C@]23CCC(=N[C@@H]2C4=CSC(=N4)[C@H]([C@H](OC(=O)C5=NC6=C(C=C[C@H]([C@@H]6O)N1)C(=C5)[C@H](C)O)C)NC(=O)C7=CSC(=N7)[C@@H](NC(=O)[C@H]8CSC(=N8)/C(=C/C)/NC(=O)[C@@H](NC(=O)C9=CSC3=N9)[C@H](C)O)[C@@](C)([C@@H](C)O)O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C)C
Thiostrepton	CC[C@@H](C)[C@@H]1C(=O)N[C@H](C(=O)NC(=C)C(=O)N[C@H](C(=O)N[C@@]23CCC(=N[C@H]2C4=CSC(=N4)[C@@H]([C@@H](OC(=O)C5=NC6=C(C=C[C@@H]([C@H]6O)N1)C(=C5)[C@@H](C)O)C)NC(=O)C7=CSC(=N7)[C@H](NC(=O)[C@@H]8CSC(=N8)/C(=C/C)/NC(=O)[C@H](NC(=O)C9=CSC3=N9)[C@@H](C)O)[C@](C)([C@H](C)O)O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C)C
Tilmicosin	CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O)N(C)C)O)CCN3C[C@@H](C[C@@H](C3)C)C)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC
Tilmicosin	CCC1C(C=C(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CCN3CC(CC(C3)C)C)C)C)COC4C(C(C(C(O4)C)O)OC)OC
Tilmicosin	CC[C@@H]1[C@H](/C=C(\C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O)N(C)C)O)CCN3C[C@@H](C[C@@H](C3)C)C)C)/C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC
Tilmicosin	CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)OC2[C@@H]([C@H]([C@@H]([C@H](O2)C)O)N(C)C)O)CCN3C[C@@H](C[C@@H](C3)C)C)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC
Tilmicosin	CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H](C(CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O)N(C)C)O)CCN3CC(CC(C3)C)C)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC
Tilmicosin	CC[C@H]1[C@H](/C=C(\C=C\C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O)N(C)C)O)CCN3C[C@@H](C[C@@H](C3)C)C)C)/C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC
Tilmicosin	CC[C@@H]1[C@H](/C=C(\C=C\C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O)N(C)C)O)CCN3C[C@@H](C[C@@H](C3)C)C)C)/C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC
Tilmicosin	CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CCN3C[C@@H](C[C@@H](C3)C)C)C)\C)COC4C(C(C(C(O4)C)O)OC)OC
Tilmicosin	CCC1[C@H](/C=C(\C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O)N(C)C)O)CCN3CC(CC(C3)C)C)C)/C)CO[C@H]4[C@@H]([C@@H]([C@@H](C(O4)C)O)OC)OC
Tilmicosin	CC[C@@H]1C(/C=C(/C=C/C(=O)C(CC(C([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H](C(O2)C)O)N(C)C)O)CCN3CC(CC(C3)C)C)C)\C)COC4[C@@H](C([C@@H](C(O4)C)O)OC)OC
Tilmicosin	CC[C@@H]1[C@@H](C=C(C=CC(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CCN3C[C@@H](C[C@@H](C3)C)C)C)C)COC4C(C(C(C(O4)C)O)OC)OC
Tilmicosin	CC[C@@H]1[C@@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)C)O)N(C)C)O)CCN3C[C@@H](C[C@H](C3)C)C)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@@H](O4)C)O)OC)OC
Tilmicosin	CC[C@H]1[C@@H](/C=C(/C=C/C(=O)[C@H](C[C@H]([C@H]([C@@H]([C@H](CC(=O)O1)O)C)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)C)O)N(C)C)O)CCN3C[C@@H](C[C@@H](C3)C)C)C)\C)CO[C@@H]4[C@H]([C@H]([C@H]([C@@H](O4)C)O)OC)OC
Tilmicosin	CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H](C([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O)N(C)C)O)CCN3C[C@@H](C[C@@H](C3)C)C)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC
Tilmicosin	CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2C(C([C@@H](C(O2)C)O)N(C)C)O)CCN3CC(CC(C3)C)C)C)\C)CO[C@H]4[C@H](C([C@@H](C(O4)C)O)OC)OC
Tilmicosin	CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](CC([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O)N(C)C)O)CCN3C[C@@H](C[C@@H](C3)C)C)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC
Tilmicosin	CCC1C(/C=C(\C=C\C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CCN3CC(CC(C3)C)C)C)/C)COC4C(C(C(C(O4)C)O)OC)OC
Thymol	CC1=CC(=C(C=C1)C(C)C)O
Tioconazole	C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)OCC3=C(SC=C3)Cl
Tiamulin fumarate	CCN(CC)CCSCC(=O)O[C@@H]1C[C@@]([C@H]([C@@H]([C@@]23CC[C@H]([C@@]1([C@@H]2C(=O)CC3)C)C)C)O)(C)C=C.C(=C/C(=O)O)\C(=O)O
Tiamulin fumarate	CCN(CC)CCSCC(=O)O[C@@H]1C[C@@]([C@H]([C@@H]([C@@]23CCC([C@@]1([C@@H]2C(=O)CC3)C)C)C)O)(C)C=C.C(=C/C(=O)O)\C(=O)O
Tiamulin fumarate	CCN(CC)CCSCC(=O)O[C@@H]1C[C@@]([C@H]([C@@H]([C@@]23CC[C@H]([C@]1([C@@H]2C(=O)CC3)C)C)C)O)(C)C=C.C(=C/C(=O)O)\C(=O)O
Tiamulin fumarate	CCN(CC)CCSCC(=O)OC1CC(C(C(C23CCC(C1(C2C(=O)CC3)C)C)C)O)(C)C=C.C(=C/C(=O)O)\C(=O)O
Tiamulin fumarate	CCN(CC)CCSCC(=O)O[C@@H]1C[C@@](C([C@@H](C23CCC([C@]1([C@@H]2C(=O)CC3)C)C)C)O)(C)C=C.C(=CC(=O)O)C(=O)O
Tiamulin fumarate	CCN(CC)CCSCC(=O)O[C@@H]1C[C@@]([C@H]([C@@H]([C@@]23CCC(C1([C@@H]2C(=O)CC3)C)C)C)O)(C)C=C.C(=C/C(=O)O)\C(=O)O
Tiamulin fumarate	CCN(CC)CCSCC(=O)OC1CC(C(C(C23CCC(C1(C2C(=O)CC3)C)C)C)O)(C)C=C.C(=CC(=O)O)C(=O)O
Tiamulin fumarate	CCN(CC)CCSCC(=O)O[C@@H]1C[C@@]([C@H]([C@@H]([C@@]23CCC(C1([C@@H]2C(=O)CC3)C)C)C)O)(C)C=C.C(=CC(=O)O)C(=O)O
Tiamulin fumarate	CCN(CC)CCSCC(=O)O[C@@H]1C[C@@]([C@H]([C@@H]([C@@]23CC[C@H]([C@@]1([C@H]2C(=O)CC3)C)C)C)O)(C)C=C.C(=C/C(=O)O)\C(=O)O
Tiamulin fumarate	CCN(CC)CCSCC(=O)O[C@@H]1C[C@@]([C@H]([C@@H]([C@@]23CCC([C@]1([C@@H]2C(=O)CC3)C)C)C)O)(C)C=C.C(=C/C(=O)O)\C(=O)O
Tiamulin fumarate	CCN(CC)CCSCC(=O)O[C@@H]1C[C@@]([C@H]([C@@H]([C@@]23CCC([C@@]1(C2C(=O)CC3)C)C)C)O)(C)C=C.C(=C/C(=O)O)\C(=O)O
Tiamulin fumarate	CCN(CC)CCSCC(=O)O[C@@H]1C[C@@]([C@H]([C@@H](C23CCC([C@@]1([C@@H]2C(=O)CC3)C)C)C)O)(C)C=C.C(=C/C(=O)O)\C(=O)O
Tolfenamic acid	CC1=C(C=CC=C1Cl)NC2=CC=CC=C2C(=O)O
Tinidazole	CCS(=O)(=O)CCN1C(=NC=C1[N+](=O)[O-])C
Triamcinolone acetonide	C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)CCC5=CC(=O)C=C[C@@]53C)F)O
Tomatidine hydrochloride	C[C@H]1CC[C@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@@H]6[C@@]5(CC[C@@H](C6)O)C)C)C)NC1.Cl
Tomatidine hydrochloride	C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@@H]6[C@@]5(CC[C@@H](C6)O)C)C)C)NC1.Cl
Tomatidine hydrochloride	C[C@H]1[C@H]2[C@H](CC3[C@@]2(CCC4C3CC[C@@H]5[C@@]4(CC[C@@H](C5)O)C)C)O[C@@]16CCC(CN6)C.Cl
Tomatidine hydrochloride	CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)O)C)C)C)NC1.Cl
Tomatidine hydrochloride	C[C@H]1CC[C@]2([C@@H]([C@@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@@H]6[C@@]5(CC[C@@H](C6)O)C)C)C)NC1.Cl
Triclabendazole	CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl
Trimethoprim	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
Validamycin A	C1[C@@H]([C@H]([C@@H]([C@H]([C@H]1N[C@H]2C=C([C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)CO
Tunicamycin	
Virginiamycin Complex	
Cannabidiol	CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O
Mupirocin	C[C@H]([C@H]1[C@@H](O1)C[C@H]2CO[C@H]([C@@H]([C@@H]2O)O)C/C(=C/C(=O)OCCCCCCCCC(=O)O)/C)[C@H](C)O
Carbamazepine	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
Mycophenolic acid	CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O
Carvacrol sample	
Myriocin	CCCCCCC(=O)CCCCCC/C=C/C[C@H]([C@@H]([C@@](CO)(C(=O)O)N)O)O
(+)-Catechin hydrate	C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O.O
(+)-Catechin hydrate	C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
Myristicin	COC1=CC(=CC2=C1OCO2)CC=C
Cerulenin	C/C=C/C/C=C/CCC(=O)[C@@H]1[C@@H](O1)C(=O)N
Myxothiazol	C[C@@H](/C=C/C=C/C(C)C)C1=NC(=CS1)C2=NC(=CS2)/C=C/[C@@H]([C@@H](C)/C(=C\C(=O)N)/OC)OC
Myxothiazol	C[C@@H](/C=C/C=C/C(C)C)C1=NC(=CS1)C2=NC(=CS2)/C=C/[C@@H]([C@@H](C)/C(=C/C(=O)N)/OC)OC
Myxothiazol	C[C@H]([C@H](/C=C/C1=CSC(=N1)C2=CSC(=N2)C(C)/C=C/C=C/C(C)C)OC)/C(=C\C(=O)N)/OC
Myxothiazol	CC(C)C=CC=CC(C)C1=NC(=CS1)C2=NC(=CS2)C=CC(C(C)C(=CC(=O)N)OC)OC
Myxothiazol	CC(C)/C=C/C=C/C(C)C1=NC(=CS1)C2=NC(=CS2)/C=C/C(C(C)/C(=C\C(=O)N)/OC)OC
Chetomin	CN1C(=O)[C@]2(N(C(=O)[C@@]1(SS2)CC3=CN(C4=CC=CC=C43)[C@]56C[C@]78C(=O)N([C@](C(=O)N7[C@H]5NC9=CC=CC=C69)(SS8)CO)C)C)CO
Chetomin	CN1C(=O)C2(N(C(=O)C1(SS2)CC3=CN(C4=CC=CC=C43)C56CC78C(=O)N(C(C(=O)N7C5NC9=CC=CC=C69)(SS8)CO)C)C)CO
Chetomin	CN1C(=O)[C@]2(N(C(=O)[C@]1(SS2)CC3=CN(C4=CC=CC=C43)[C@]56C[C@]78C(=O)N([C@](C(=O)N7[C@H]5NC9=CC=CC=C69)(SS8)CO)C)C)CO
Chetomin	CN1C(=O)[C@@]2(N(C(=O)[C@@]1(SS2)CC3=CN(C4=CC=CC=C43)[C@]56C[C@]78C(=O)N([C@@](C(=O)N7[C@H]5NC9=CC=CC=C69)(SS8)CO)C)C)CO
Chetomin	CN1C(=O)[C@@]23C[C@]4([C@@H](N2C(=O)C1(SS3)CO)NC5=CC=CC=C54)N6C=C(C7=CC=CC=C76)CC89C(=O)N(C(C(=O)N8C)(SS9)CO)C
Chetomin	CN1C(=O)[C@@]2(N(C(=O)[C@]1(SS2)CC3=CN(C4=CC=CC=C43)[C@]56C[C@]78C(=O)N([C@](C(=O)N7[C@H]5NC9=CC=CC=C69)(SS8)CO)C)C)CO
Chetomin	CN1C(=O)[C@@]2(N(C(=O)[C@]1(SS2)CC3=CN(C4=CC=CC=C43)[C@@]56C[C@@]78C(=O)N([C@@](C(=O)N7[C@@H]5NC9=CC=CC=C69)(SS8)CO)C)C)CO
Narasin	CC[C@H]([C@H]1[C@H](C[C@@H]([C@@H](O1)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@H]([C@]3(O2)C=C[C@H]([C@@]4(O3)CC[C@@](O4)(C)[C@H]5CC[C@@]([C@@H](O5)C)(CC)O)O)C)C)O)C)C)C(=O)O
Narasin	CCC(C1C(CC(C(O1)C(C)C(C(C)C(=O)C(CC)C2C(CC(C3(O2)C=CC(C4(O3)CCC(O4)(C)C5CCC(C(O5)C)(CC)O)O)C)C)O)C)C)C(=O)O
Narasin	CC[C@H]([C@H]1[C@@H](C[C@H]([C@@H](O1)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@H]([C@]3(O2)C=C[C@H]([C@@]4(O3)CC[C@@](O4)(C)[C@H]5CC[C@@]([C@@H](O5)C)(CC)O)O)C)C)O)C)C)C(=O)O
Narasin	CC[C@H]([C@H]1[C@H](C[C@@H]([C@@H](O1)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@H]([C@]3(O2)C=CC([C@@]4(O3)CC[C@@](O4)(C)[C@H]5CC[C@@]([C@@H](O5)C)(CC)O)O)C)C)O)C)C)C(=O)O
Narasin	CC[C@H]([C@H]1[C@@H](C[C@@H]([C@@H](O1)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@H]([C@]3(O2)C=C[C@H]([C@@]4(O3)CC[C@@](O4)(C)C5CC[C@@]([C@@H](O5)C)(CC)O)O)C)C)O)C)C)C(=O)O
Narasin	CCC(C1C(CC(C(O1)C(C)C(C(C)C(=O)C(CC)C2C(CC([C@]3(O2)C=CC([C@@]4(O3)CC[C@@](O4)(C)C5CC[C@@](C(O5)C)(CC)O)O)C)C)O)C)C)C(=O)O
Narasin	CC[C@H](C1[C@H](C[C@H]([C@]2(O1)C=C[C@H]([C@@]3(O2)CC[C@@](O3)(C)[C@H]4CC[C@@]([C@@H](O4)C)(CC)O)O)C)C)C(=O)[C@@H](C)[C@H]([C@H](C)[C@H]5[C@H](C[C@@H]([C@@H](O5)C(CC)C(=O)O)C)C)O
Narasin	CC[C@H]([C@H]1[C@@H](C[C@@H]([C@@H](O1)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@H]([C@]3(O2)C=C[C@H]([C@@]4(O3)CC[C@@](O4)(C)[C@H]5CC[C@@]([C@@H](O5)C)(CC)O)O)C)C)O)C)C)C(=O)O
Narasin	CC[C@H]([C@H]1[C@H](C[C@@H]([C@@H](O1)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@@H](CC)[C@@H]2[C@H](C[C@H]([C@]3(O2)C=C[C@H]([C@@]4(O3)CC[C@@](O4)(C)[C@H]5CC[C@@]([C@@H](O5)C)(CC)O)O)C)C)O)C)C)C(=O)O
Narasin	CC[C@@H]([C@@H]1[C@@H](C[C@H]([C@H](O1)[C@H](C)[C@H]([C@@H](C)C(=O)[C@@H](CC)[C@H]2[C@@H](C[C@@H]([C@@]3(O2)C=C[C@@H]([C@]4(O3)CC[C@](O4)(C)[C@@H]5CC[C@]([C@H](O5)C)(CC)O)O)C)C)O)C)C)C(=O)O
Chloramphenicol	C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
Netropsin dihydrochloride	
Chromomycin A3	C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@H]2[C@@H](CC3=C(C2=O)C(=C4C(=C3)C=C(C(=C4O)C)O[C@H]5C[C@H]([C@H]([C@H](O5)C)OC(=O)C)O[C@@H]6C[C@H]([C@H]([C@H](O6)C)OC)O)O)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]7C[C@H]([C@@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@H]([C@@H](O8)C)OC(=O)C)(C)O)O
Chromomycin A3	CC1C(C(CC(O1)OC2C(CC3=C(C2=O)C(=C4C(=C3)C=C(C(=C4O)C)OC5CC(C(C(O5)C)OC(=O)C)OC6CC(C(C(O6)C)OC)O)O)C(C(=O)C(C(C)O)O)OC)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)OC(=O)C)(C)O)O
Chromomycin A3	CC1C(C(CC(O1)O[C@H]2[C@@H](CC3=C(C2=O)C(=C4C(=C3)C=C(C(=C4O)C)OC5CC(C(C(O5)C)OC(=O)C)OC6CC(C(C(O6)C)OC)O)O)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)OC(=O)C)(C)O)O
Chromomycin A3	C[C@@H]1[C@H]([C@@H](CC(O1)O[C@H]2[C@@H](CC3=C(C2=O)C(=C4C(=C3)C=C(C(=C4O)C)OC5C[C@@H]([C@@H]([C@@H](O5)C)OC(=O)C)OC6C[C@@H]([C@@H]([C@@H](O6)C)OC)O)O)[C@H](C(=O)[C@H]([C@H](C)O)O)OC)OC7C[C@@H]([C@H]([C@@H](O7)C)O)OC8C[C@]([C@H]([C@@H](O8)C)OC(=O)C)(C)O)O
Chromomycin A3	CC1C(C(CC(O1)OC2C(CC3=C(C2=O)C(=C4C(=C3)C=C(C(=C4O)C)OC5CC(C(C(O5)C)OC(=O)C)OC6CC(C(C(O6)C)OC)O)O)C(C(=O)C(C(C)O)O)OC)OC7CC(C(C(O7)C)O)OC8C[C@](C(C(O8)C)OC(=O)C)(C)O)O
Chromomycin A3	C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@H]2[C@@H](CC3=C(C2=O)C(=C4C(=C3)C=C(C(=C4O)C)O[C@H]5C[C@H]([C@H]([C@H](O5)C)OC(=O)C)OC6CC(C(C(O6)C)OC)O)O)C(C(=O)[C@H]([C@@H](C)O)O)OC)OC7C[C@H](C([C@H](O7)C)O)OC8C[C@]([C@H]([C@@H](O8)C)OC(=O)C)(C)O)O
Chromomycin A3	C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@H]2[C@@H](CC3=C(C2=O)C(=C4C(=C3)C=C(C(=C4O)C)O[C@H]5C[C@H]([C@@H]([C@H](O5)C)OC(=O)C)O[C@H]6C[C@H]([C@@H]([C@H](O6)C)OC)O)O)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)OC7C[C@H]([C@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@@H]([C@H](O8)C)OC(=O)C)(C)O)O
Niclosamide	C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
Chrysophanol	CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O
Nigericin	C[C@H]1CC[C@@H](O[C@H]1[C@@H](C)C(=O)O)C[C@@H]2C[C@H]([C@H]([C@@]3(O2)[C@@H](C[C@@](O3)(C)[C@H]4CC[C@@](O4)(C)[C@H]5[C@H](C[C@@H](O5)[C@@H]6[C@H](C[C@H]([C@@](O6)(CO)O)C)C)C)C)C)OC
Nigericin	C[C@H]1CC[C@@H](O[C@H]1[C@@H](C)C(=O)[O-])C[C@@H]2C[C@H]([C@H]([C@@]3(O2)[C@@H](C[C@@](O3)(C)[C@H]4CC[C@@](O4)(C)[C@H]5[C@H](C[C@@H](O5)[C@@H]6[C@H](C[C@H]([C@@](O6)(CO)O)C)C)C)C)C)OC.[Na+]
Ursocholanic acid	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CCCC4)C)C
Ursocholanic acid	C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CCCC4)C)C
Viridicatin	C1=CC=C(C=C1)C2=C(C(=O)NC3=CC=CC=C32)O
Valinomycin	C[C@H]1C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O[C@H](C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O[C@H](C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C
Valinomycin	CC1C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C
Valinomycin	C[C@H]1C(=O)N[C@H](C(=O)O[C@@H](C(=O)NC(C(=O)O[C@H](C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O[C@H](C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C
